process_id,file_size,mem_usage,page_vaults,page_file_peak_usage,self/Non-Self
L,L,L,L,L,1
H,L,L,L,L,1
M,L,L,L,L,0
VL,L,L,L,L,1
VH,L,L,L,L,0
VH,H,L,L,L,0
VH,M,L,L,L,0
VH,VL,L,L,L,1
VH,VH,L,L,L,1
VH,VH,H,L,L,0
VH,VH,M,L,L,1
VH,VH,VL,L,L,0
VH,VH,VH,L,L,1
VH,VH,VH,H,L,1
VH,VH,VH,M,L,1
VH,VH,VH,VL,L,1
VH,VH,VH,VH,L,1
VH,VH,VH,VH,H,1
VH,VH,VH,VH,M,1
VH,VH,VH,VL,H,1
VH,VH,VH,VL,M,1
VH,VH,VH,M,H,1
VH,VH,VH,M,M,1
VH,VH,VH,H,H,1
VH,VH,VH,H,M,1
VH,VH,VH,L,H,1
VH,VH,VH,L,M,1
VH,VH,VL,H,L,1
VH,VH,VL,M,L,1
VH,VH,VL,VL,L,0
VH,VH,VL,VH,L,1
VH,VH,VL,VH,H,1
VH,VH,VL,VH,M,1
VH,VH,VL,VL,H,0
VH,VH,VL,VL,M,1
VH,VH,VL,M,H,1
VH,VH,VL,M,M,0
VH,VH,VL,H,H,1
VH,VH,VL,H,M,1
VH,VH,VL,L,H,0
VH,VH,VL,L,M,1
VH,VH,M,H,L,1
VH,VH,M,M,L,1
VH,VH,M,VL,L,1
VH,VH,M,VH,L,1
VH,VH,M,VH,H,1
VH,VH,M,VH,M,1
VH,VH,M,VL,H,1
VH,VH,M,VL,M,1
VH,VH,M,M,H,1
VH,VH,M,M,M,1
VH,VH,M,H,H,1
VH,VH,M,H,M,0
VH,VH,M,L,H,1
VH,VH,M,L,M,0
VH,VH,H,H,L,1
VH,VH,H,M,L,1
VH,VH,H,VL,L,1
VH,VH,H,VH,L,1
VH,VH,H,VH,H,1
VH,VH,H,VH,M,1
VH,VH,H,VL,H,1
VH,VH,H,VL,M,0
VH,VH,H,M,H,1
VH,VH,H,M,M,1
VH,VH,H,H,H,1
VH,VH,H,H,M,1
VH,VH,H,L,H,1
VH,VH,H,L,M,1
VH,VH,L,H,L,1
VH,VH,L,M,L,0
VH,VH,L,VL,L,0
VH,VH,L,VH,L,1
VH,VH,L,VH,H,1
VH,VH,L,VH,M,1
VH,VH,L,VL,H,0
VH,VH,L,VL,M,1
VH,VH,L,M,H,1
VH,VH,L,M,M,0
VH,VH,L,H,H,0
VH,VH,L,H,M,0
VH,VH,L,L,H,1
VH,VH,L,L,M,1
VH,VL,H,L,L,1
VH,VL,M,L,L,1
VH,VL,VL,L,L,1
VH,VL,VH,L,L,1
VH,VL,VH,H,L,1
VH,VL,VH,M,L,1
VH,VL,VH,VL,L,0
VH,VL,VH,VH,L,1
VH,VL,VH,VH,H,1
VH,VL,VH,VH,M,1
VH,VL,VH,VL,H,1
VH,VL,VH,VL,M,0
VH,VL,VH,M,H,1
VH,VL,VH,M,M,1
VH,VL,VH,H,H,1
VH,VL,VH,H,M,0
VH,VL,VH,L,H,0
VH,VL,VH,L,M,1
VH,VL,VL,H,L,1
VH,VL,VL,M,L,1
VH,VL,VL,VL,L,0
VH,VL,VL,VH,L,1
VH,VL,VL,VH,H,1
VH,VL,VL,VH,M,1
VH,VL,VL,VL,H,1
VH,VL,VL,VL,M,0
VH,VL,VL,M,H,1
VH,VL,VL,M,M,0
VH,VL,VL,H,H,1
VH,VL,VL,H,M,0
VH,VL,VL,L,H,0
VH,VL,VL,L,M,1
VH,VL,M,H,L,1
VH,VL,M,M,L,1
VH,VL,M,VL,L,1
VH,VL,M,VH,L,1
VH,VL,M,VH,H,1
VH,VL,M,VH,M,1
VH,VL,M,VL,H,0
VH,VL,M,VL,M,1
VH,VL,M,M,H,1
VH,VL,M,M,M,1
VH,VL,M,H,H,1
VH,VL,M,H,M,1
VH,VL,M,L,H,1
VH,VL,M,L,M,1
VH,VL,H,H,L,1
VH,VL,H,M,L,1
VH,VL,H,VL,L,1
VH,VL,H,VH,L,1
VH,VL,H,VH,H,1
VH,VL,H,VH,M,1
VH,VL,H,VL,H,1
VH,VL,H,VL,M,1
VH,VL,H,M,H,1
VH,VL,H,M,M,1
VH,VL,H,H,H,1
VH,VL,H,H,M,1
VH,VL,H,L,H,1
VH,VL,H,L,M,1
VH,VL,L,H,L,1
VH,VL,L,M,L,1
VH,VL,L,VL,L,1
VH,VL,L,VH,L,1
VH,VL,L,VH,H,1
VH,VL,L,VH,M,1
VH,VL,L,VL,H,1
VH,VL,L,VL,M,1
VH,VL,L,M,H,1
VH,VL,L,M,M,1
VH,VL,L,H,H,1
VH,VL,L,H,M,1
VH,VL,L,L,H,0
VH,VL,L,L,M,1
VH,M,H,L,L,1
VH,M,M,L,L,0
VH,M,VL,L,L,0
VH,M,VH,L,L,1
VH,M,VH,H,L,1
VH,M,VH,M,L,1
VH,M,VH,VL,L,1
VH,M,VH,VH,L,1
VH,M,VH,VH,H,1
VH,M,VH,VH,M,1
VH,M,VH,VL,H,1
VH,M,VH,VL,M,1
VH,M,VH,M,H,1
VH,M,VH,M,M,1
VH,M,VH,H,H,1
VH,M,VH,H,M,1
VH,M,VH,L,H,1
VH,M,VH,L,M,0
VH,M,VL,H,L,0
VH,M,VL,M,L,1
VH,M,VL,VL,L,1
VH,M,VL,VH,L,1
VH,M,VL,VH,H,1
VH,M,VL,VH,M,1
VH,M,VL,VL,H,1
VH,M,VL,VL,M,0
VH,M,VL,M,H,0
VH,M,VL,M,M,1
VH,M,VL,H,H,1
VH,M,VL,H,M,0
VH,M,VL,L,H,1
VH,M,VL,L,M,1
VH,M,M,H,L,1
VH,M,M,M,L,1
VH,M,M,VL,L,1
VH,M,M,VH,L,1
VH,M,M,VH,H,1
VH,M,M,VH,M,1
VH,M,M,VL,H,0
VH,M,M,VL,M,0
VH,M,M,M,H,1
VH,M,M,M,M,0
VH,M,M,H,H,1
VH,M,M,H,M,1
VH,M,M,L,H,0
VH,M,M,L,M,1
VH,M,H,H,L,1
VH,M,H,M,L,1
VH,M,H,VL,L,0
VH,M,H,VH,L,1
VH,M,H,VH,H,1
VH,M,H,VH,M,1
VH,M,H,VL,H,1
VH,M,H,VL,M,1
VH,M,H,M,H,1
VH,M,H,M,M,1
VH,M,H,H,H,1
VH,M,H,H,M,1
VH,M,H,L,H,1
VH,M,H,L,M,0
VH,M,L,H,L,1
VH,M,L,M,L,1
VH,M,L,VL,L,1
VH,M,L,VH,L,1
VH,M,L,VH,H,1
VH,M,L,VH,M,1
VH,M,L,VL,H,1
VH,M,L,VL,M,1
VH,M,L,M,H,1
VH,M,L,M,M,1
VH,M,L,H,H,1
VH,M,L,H,M,1
VH,M,L,L,H,0
VH,M,L,L,M,0
VH,H,H,L,L,1
VH,H,M,L,L,1
VH,H,VL,L,L,1
VH,H,VH,L,L,1
VH,H,VH,H,L,1
VH,H,VH,M,L,1
VH,H,VH,VL,L,0
VH,H,VH,VH,L,1
VH,H,VH,VH,H,1
VH,H,VH,VH,M,1
VH,H,VH,VL,H,0
VH,H,VH,VL,M,1
VH,H,VH,M,H,1
VH,H,VH,M,M,1
VH,H,VH,H,H,1
VH,H,VH,H,M,1
VH,H,VH,L,H,0
VH,H,VH,L,M,0
VH,H,VL,H,L,1
VH,H,VL,M,L,1
VH,H,VL,VL,L,0
VH,H,VL,VH,L,1
VH,H,VL,VH,H,1
VH,H,VL,VH,M,1
VH,H,VL,VL,H,1
VH,H,VL,VL,M,1
VH,H,VL,M,H,1
VH,H,VL,M,M,0
VH,H,VL,H,H,1
VH,H,VL,H,M,1
VH,H,VL,L,H,1
VH,H,VL,L,M,0
VH,H,M,H,L,1
VH,H,M,M,L,1
VH,H,M,VL,L,0
VH,H,M,VH,L,1
VH,H,M,VH,H,1
VH,H,M,VH,M,1
VH,H,M,VL,H,0
VH,H,M,VL,M,1
VH,H,M,M,H,1
VH,H,M,M,M,0
VH,H,M,H,H,1
VH,H,M,H,M,1
VH,H,M,L,H,1
VH,H,M,L,M,1
VH,H,H,H,L,1
VH,H,H,M,L,1
VH,H,H,VL,L,0
VH,H,H,VH,L,1
VH,H,H,VH,H,1
VH,H,H,VH,M,1
VH,H,H,VL,H,0
VH,H,H,VL,M,1
VH,H,H,M,H,1
VH,H,H,M,M,1
VH,H,H,H,H,1
VH,H,H,H,M,1
VH,H,H,L,H,0
VH,H,H,L,M,1
VH,H,L,H,L,1
VH,H,L,M,L,1
VH,H,L,VL,L,1
VH,H,L,VH,L,1
VH,H,L,VH,H,1
VH,H,L,VH,M,1
VH,H,L,VL,H,1
VH,H,L,VL,M,1
VH,H,L,M,H,1
VH,H,L,M,M,1
VH,H,L,H,H,1
VH,H,L,H,M,1
VH,H,L,L,H,1
VH,H,L,L,M,1
VH,L,H,L,L,1
VH,L,M,L,L,1
VH,L,VL,L,L,0
VH,L,VH,L,L,0
VH,L,VH,H,L,0
VH,L,VH,M,L,1
VH,L,VH,VL,L,1
VH,L,VH,VH,L,1
VH,L,VH,VH,H,1
VH,L,VH,VH,M,1
VH,L,VH,VL,H,0
VH,L,VH,VL,M,1
VH,L,VH,M,H,0
VH,L,VH,M,M,0
VH,L,VH,H,H,1
VH,L,VH,H,M,1
VH,L,VH,L,H,1
VH,L,VH,L,M,1
VH,L,VL,H,L,1
VH,L,VL,M,L,1
VH,L,VL,VL,L,1
VH,L,VL,VH,L,1
VH,L,VL,VH,H,1
VH,L,VL,VH,M,1
VH,L,VL,VL,H,0
VH,L,VL,VL,M,1
VH,L,VL,M,H,0
VH,L,VL,M,M,1
VH,L,VL,H,H,1
VH,L,VL,H,M,1
VH,L,VL,L,H,0
VH,L,VL,L,M,1
VH,L,M,H,L,1
VH,L,M,M,L,1
VH,L,M,VL,L,1
VH,L,M,VH,L,1
VH,L,M,VH,H,1
VH,L,M,VH,M,1
VH,L,M,VL,H,1
VH,L,M,VL,M,0
VH,L,M,M,H,0
VH,L,M,M,M,1
VH,L,M,H,H,1
VH,L,M,H,M,0
VH,L,M,L,H,1
VH,L,M,L,M,1
VH,L,H,H,L,0
VH,L,H,M,L,0
VH,L,H,VL,L,1
VH,L,H,VH,L,1
VH,L,H,VH,H,1
VH,L,H,VH,M,1
VH,L,H,VL,H,0
VH,L,H,VL,M,1
VH,L,H,M,H,1
VH,L,H,M,M,0
VH,L,H,H,H,1
VH,L,H,H,M,1
VH,L,H,L,H,1
VH,L,H,L,M,1
VH,L,L,H,L,0
VH,L,L,M,L,0
VH,L,L,VL,L,0
VH,L,L,VH,L,1
VH,L,L,VH,H,1
VH,L,L,VH,M,1
VH,L,L,VL,H,0
VH,L,L,VL,M,0
VH,L,L,M,H,0
VH,L,L,M,M,0
VH,L,L,H,H,0
VH,L,L,H,M,0
VH,L,L,L,H,1
VH,L,L,L,M,1
VL,H,L,L,L,1
VL,M,L,L,L,0
VL,VL,L,L,L,1
VL,VH,L,L,L,0
VL,VH,H,L,L,1
VL,VH,M,L,L,0
VL,VH,VL,L,L,0
VL,VH,VH,L,L,1
VL,VH,VH,H,L,1
VL,VH,VH,M,L,1
VL,VH,VH,VL,L,1
VL,VH,VH,VH,L,1
VL,VH,VH,VH,H,1
VL,VH,VH,VH,M,1
VL,VH,VH,VL,H,1
VL,VH,VH,VL,M,0
VL,VH,VH,M,H,1
VL,VH,VH,M,M,1
VL,VH,VH,H,H,1
VL,VH,VH,H,M,1
VL,VH,VH,L,H,0
VL,VH,VH,L,M,1
VL,VH,VL,H,L,1
VL,VH,VL,M,L,1
VL,VH,VL,VL,L,1
VL,VH,VL,VH,L,1
VL,VH,VL,VH,H,1
VL,VH,VL,VH,M,1
VL,VH,VL,VL,H,1
VL,VH,VL,VL,M,1
VL,VH,VL,M,H,1
VL,VH,VL,M,M,0
VL,VH,VL,H,H,1
VL,VH,VL,H,M,1
VL,VH,VL,L,H,0
VL,VH,VL,L,M,0
VL,VH,M,H,L,1
VL,VH,M,M,L,1
VL,VH,M,VL,L,1
VL,VH,M,VH,L,1
VL,VH,M,VH,H,1
VL,VH,M,VH,M,1
VL,VH,M,VL,H,1
VL,VH,M,VL,M,1
VL,VH,M,M,H,1
VL,VH,M,M,M,1
VL,VH,M,H,H,1
VL,VH,M,H,M,0
VL,VH,M,L,H,1
VL,VH,M,L,M,1
VL,VH,H,H,L,1
VL,VH,H,M,L,1
VL,VH,H,VL,L,1
VL,VH,H,VH,L,1
VL,VH,H,VH,H,1
VL,VH,H,VH,M,1
VL,VH,H,VL,H,1
VL,VH,H,VL,M,0
VL,VH,H,M,H,1
VL,VH,H,M,M,1
VL,VH,H,H,H,1
VL,VH,H,H,M,1
VL,VH,H,L,H,1
VL,VH,H,L,M,1
VL,VH,L,H,L,1
VL,VH,L,M,L,1
VL,VH,L,VL,L,1
VL,VH,L,VH,L,1
VL,VH,L,VH,H,1
VL,VH,L,VH,M,1
VL,VH,L,VL,H,0
VL,VH,L,VL,M,1
VL,VH,L,M,H,1
VL,VH,L,M,M,1
VL,VH,L,H,H,1
VL,VH,L,H,M,1
VL,VH,L,L,H,0
VL,VH,L,L,M,1
VL,VL,H,L,L,1
VL,VL,M,L,L,0
VL,VL,VL,L,L,0
VL,VL,VH,L,L,1
VL,VL,VH,H,L,1
VL,VL,VH,M,L,1
VL,VL,VH,VL,L,1
VL,VL,VH,VH,L,1
VL,VL,VH,VH,H,1
VL,VL,VH,VH,M,1
VL,VL,VH,VL,H,1
VL,VL,VH,VL,M,0
VL,VL,VH,M,H,1
VL,VL,VH,M,M,0
VL,VL,VH,H,H,1
VL,VL,VH,H,M,1
VL,VL,VH,L,H,1
VL,VL,VH,L,M,1
